Date,User_ID,Product_ID,EUR_Amount,EUR_to_USD,USD_Amount,user_id,name,status,updated_at
2023-03-15,U-19484,PRD-874,3404.44,1.1782321827907003,4011.220772379972,U-19484,User_U-19484,Active,2023-01-11 14:00:00
2023-05-09,U-18932,PRD-905,3406.21,1.104982568254382,3763.8026738137582,U-18932,User_U-18932,Pending,2023-01-01 10:00:00
2023-10-21,U-15882,PRD-284,164.08,1.0753499532670583,176.44342033205893,U-15882,User_U-15882,Active,2023-01-16 14:00:00
2023-01-10,U-22781,PRD-665,26.8,1.1271280021792984,30.2070304584052,U-22781,User_U-22781,Active,2023-01-07 14:00:00
2023-05-23,U-13348,PRD-589,4964.77,1.0196258382719388,5062.2077730773735,U-13348,User_U-13348,Pending,2023-01-01 10:00:00
2023-10-20,U-22062,PRD-363,48.63,1.0753499532670583,52.294268227377046,U-22062,User_U-22062,Active,2023-01-05 14:00:00
2023-12-02,U-22146,PRD-223,960.6,1.0661419144243944,1024.1359229960733,U-22146,User_U-22146,Active,2023-01-18 14:00:00
2023-03-21,U-08211,PRD-741,1129.34,1.0006215542699557,1130.0419460992316,U-08211,User_U-08211,Active,2023-01-16 14:00:00
2023-09-23,U-20854,PRD-315,2139.44,1.0487806179332857,2243.8032052311887,U-20854,User_U-20854,Suspended,2023-02-02 09:00:00
2023-08-04,U-11746,PRD-893,1529.29,1.0842365377679828,1658.1120948431983,U-11746,User_U-11746,Pending,2023-01-01 10:00:00
2023-02-01,U-12689,PRD-223,3390.14,1.192613909225447,4043.128118221557,U-12689,User_U-12689,Active,2023-01-26 14:00:00
2023-02-07,U-20175,PRD-154,4993.51,1.0020164938060112,5003.579381985255,U-20175,User_U-20175,Suspended,2023-02-26 09:00:00
2023-08-21,U-18814,PRD-842,2643.39,1.1022785919951907,2913.752207294167,U-18814,User_U-18814,Suspended,2023-02-25 09:00:00
2023-11-09,U-04062,PRD-139,4837.54,1.1412708174494015,5520.943230244177,U-04062,User_U-04062,Pending,2023-01-01 10:00:00
2023-07-18,U-06991,PRD-732,690.08,1.1029104359223,761.0964336212609,U-06991,User_U-06991,Active,2023-01-03 14:00:00
2023-02-06,U-21283,PRD-842,4097.27,1.110443179750238,4549.785527095259,U-21283,User_U-21283,Active,2023-01-21 14:00:00
2023-08-17,U-21759,PRD-177,2877.31,1.0642348145370015,3062.13347421546,U-21759,User_U-21759,Active,2023-01-19 14:00:00
2023-01-28,U-15509,PRD-116,2841.49,1.1055461294854934,3141.3982714717345,U-15509,User_U-15509,Active,2023-01-15 14:00:00
2023-04-04,U-09111,PRD-802,4550.35,1.0836168926701115,4930.8361275614425,U-09111,User_U-09111,Suspended,2023-02-17 09:00:00
2023-12-05,U-00311,PRD-145,999.25,1.120646572713781,1119.8060877842458,U-00311,User_U-00311,Active,2023-01-16 14:00:00
2023-12-10,U-07973,PRD-972,1976.83,1.0746528412314436,2124.4059761315543,U-07973,User_U-07973,Pending,2023-01-01 10:00:00
2023-10-15,U-13655,PRD-426,4092.97,1.129415860324229,4622.66523383126,U-13655,User_U-13655,Active,2023-01-21 14:00:00
2023-02-21,U-05713,PRD-772,2885.83,1.0807458859791843,3118.8489001353096,U-05713,User_U-05713,Active,2023-01-25 14:00:00
2023-02-03,U-08607,PRD-471,4217.42,1.0993251387631031,4636.315826722286,U-08607,User_U-08607,Active,2023-01-27 14:00:00
2023-07-06,U-09689,PRD-585,216.42,1.1236618812286774,243.18290433551036,U-09689,User_U-09689,Suspended,2023-02-10 09:00:00
2023-02-27,U-24011,PRD-633,4789.88,1.084539381207439,5194.813491257888,U-24011,User_U-24011,Active,2023-01-07 14:00:00
2023-01-27,U-01018,PRD-360,2171.65,1.1055461294854934,2400.859252097172,U-01018,User_U-01018,Active,2023-01-09 14:00:00
2023-10-17,U-12257,PRD-951,1287.75,1.0688650240089703,1376.4309346675516,U-12257,User_U-12257,Pending,2023-01-01 10:00:00
2023-03-19,U-24481,PRD-507,2127.45,1.0850496324767067,2308.3888406125693,U-24481,User_U-24481,Suspended,2023-02-24 09:00:00
2023-02-21,U-22500,PRD-319,4927.51,1.0807458859791843,5325.38616062129,U-22500,User_U-22500,Pending,2023-01-01 10:00:00
2023-02-03,U-11739,PRD-719,4094.72,1.0993251387631031,4501.4286321960535,U-11739,User_U-11739,Pending,2023-01-01 10:00:00
2023-06-18,U-16811,PRD-558,2662.77,1.0877305941998563,2896.3763943175513,U-16811,User_U-16811,Active,2023-01-16 14:00:00
2023-01-19,U-12451,PRD-691,4373.43,1.0545987962239396,4612.214013369665,U-12451,User_U-12451,Active,2023-01-29 14:00:00
2023-10-01,U-24538,PRD-540,1858.77,1.1005116530509795,2045.598045341569,U-24538,User_U-24538,Suspended,2023-02-18 09:00:00
2023-11-02,U-17466,PRD-508,2228.24,1.1058663691654391,2464.135678429198,U-17466,User_U-17466,Active,2023-01-15 14:00:00
2023-05-16,U-00328,PRD-940,1163.1,1.177496720250877,1369.5464353237949,U-00328,User_U-00328,Active,2023-01-10 14:00:00
2023-03-23,U-00905,PRD-195,887.83,1.1178556285755874,992.4657627182638,U-00905,User_U-00905,Active,2023-01-02 14:00:00
2023-04-18,U-23028,PRD-694,2280.08,1.108728890641592,2527.990568974081,U-23028,User_U-23028,Suspended,2023-02-19 09:00:00
2023-06-08,U-09074,PRD-168,337.73,1.0404348251398676,351.3860534944875,U-09074,User_U-09074,Active,2023-01-02 14:00:00
2023-03-02,U-01122,PRD-248,3864.47,1.0760412881077357,4158.3292766537015,U-01122,User_U-01122,Pending,2023-01-01 10:00:00
2023-12-29,U-21434,PRD-336,4736.03,1.1766369456501289,5572.58787370738,U-21434,User_U-21434,Suspended,2023-02-01 09:00:00
2023-04-07,U-22188,PRD-965,4924.89,1.0268242525933942,5056.996493354682,U-22188,User_U-22188,Suspended,2023-02-12 09:00:00
2023-12-20,U-21968,PRD-468,4297.33,1.092003073501829,4692.697567851615,U-21968,User_U-21968,Pending,2023-01-01 10:00:00
